                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.66726,                  1.194,                0.45062,                 1.0657,                0.64025,                0.47451,                 0.4953,                0.33875,                0.62619,                0.45689,                0.47066,                0.30985,                0.63473,                  1.225,                0.44367,                 1.0837,              0.0073072,              0.0073072,              0.0073072
                     37,                0.65672,                 1.1687,                0.44301,                 1.0616,                0.54965,                0.48499,                 0.4853,                0.33269,                0.53948,                0.48909,                0.46598,                0.29947,                0.64536,                 1.2265,                0.44635,                 1.0869,               0.007228,               0.007228,               0.007228
                     38,                0.65848,                 1.1861,                0.44006,                 1.0612,                0.49412,                0.52623,                0.49772,                0.34151,                0.50387,                0.52092,                0.48294,                0.29897,                0.64625,                 1.2166,                0.44294,                 1.0928,              0.0071488,              0.0071488,              0.0071488
                     39,                0.65941,                  1.172,                0.44348,                 1.0585,                0.59579,                0.49844,                0.50679,                0.34303,                0.57872,                0.48242,                0.47306,                0.30542,                0.64006,                 1.2291,                0.43759,                 1.0812,              0.0070696,              0.0070696,              0.0070696
                     40,                0.65838,                 1.1603,                0.43776,                 1.0544,                0.54898,                0.49377,                0.48538,                0.33834,                0.51466,                0.47052,                0.45452,                0.29411,                0.63151,                 1.1987,                0.43683,                 1.0773,              0.0069904,              0.0069904,              0.0069904
                     41,                0.65056,                 1.1467,                0.42922,                 1.0523,                0.66931,                0.46589,                0.48466,                0.34589,                0.66503,                0.45728,                 0.4578,                0.29939,                 0.6355,                 1.2186,                0.43787,                 1.0786,              0.0069112,              0.0069112,              0.0069112
                     42,                0.64681,                 1.1303,                0.42368,                 1.0547,                 0.5455,                0.49744,                0.48287,                0.34358,                0.55074,                0.50873,                0.47728,                0.30132,                0.63334,                 1.2179,                 0.4361,                 1.0778,               0.006832,               0.006832,               0.006832
                     43,                0.64584,                 1.1411,                0.42481,                 1.0487,                0.58261,                  0.581,                0.55406,                0.36218,                0.55683,                0.55272,                0.52183,                0.31938,                0.63381,                 1.2282,                 0.4343,                 1.0811,              0.0067528,              0.0067528,              0.0067528
                     44,                0.64349,                 1.1335,                0.42323,                 1.0494,                0.51202,                0.56871,                0.48945,                0.33457,                0.48388,                0.53679,                0.45195,                0.29914,                0.63576,                 1.2113,                0.43745,                   1.08,              0.0066736,              0.0066736,              0.0066736
                     45,                0.63503,                 1.1149,                0.41731,                 1.0404,                 0.6696,                0.49845,                0.52624,                0.36002,                0.64207,                0.47696,                0.49013,                0.31046,                0.63387,                 1.2347,                0.43817,                 1.0795,              0.0065944,              0.0065944,              0.0065944
                     46,                0.63201,                 1.1112,                0.41389,                 1.0412,                0.64603,                0.52151,                0.54072,                0.35286,                0.57174,                0.50231,                0.49158,                0.31096,                 0.6313,                 1.2297,                0.43112,                 1.0792,              0.0065152,              0.0065152,              0.0065152
                     47,                0.63334,                  1.114,                0.41422,                 1.0358,                0.60231,                0.51216,                0.52706,                  0.362,                0.58824,                0.49293,                0.49351,                0.31433,                0.63207,                 1.2355,                0.43308,                 1.0739,               0.006436,               0.006436,               0.006436
                     48,                0.62937,                 1.1057,                 0.4073,                 1.0332,                0.61314,                0.49103,                0.51887,                0.35651,                0.45645,                0.57545,                0.47317,                0.30919,                0.63327,                 1.2359,                0.43726,                 1.0805,              0.0063568,              0.0063568,              0.0063568
                     49,                0.62017,                 1.0834,                0.40438,                  1.029,                0.57908,                0.56322,                 0.5437,                 0.3612,                0.54553,                0.53575,                0.49678,                0.31161,                0.62307,                 1.2287,                0.43073,                 1.0759,              0.0062776,              0.0062776,              0.0062776
                     50,                0.62068,                 1.0905,                0.40423,                 1.0297,                0.64207,                0.52546,                0.52271,                0.34947,                0.56269,                 0.4842,                0.45444,                0.29932,                 0.6347,                 1.2356,                0.43007,                 1.0782,              0.0061984,              0.0061984,              0.0061984
                     51,                0.61794,                 1.0803,                0.39799,                 1.0265,                0.52882,                0.48877,                0.48593,                0.34836,                0.51438,                0.46677,                0.45849,                0.30515,                0.62814,                  1.236,                0.43387,                 1.0827,              0.0061192,              0.0061192,              0.0061192
                     52,                0.61924,                 1.0852,                 0.3972,                 1.0263,                0.69166,                  0.491,                0.53021,                 0.3592,                0.68801,                0.45806,                0.47221,                0.31443,                0.62422,                 1.2348,                0.42811,                 1.0727,                0.00604,                0.00604,                0.00604
                     53,                0.61646,                 1.0748,                0.39475,                 1.0202,                0.62295,                0.54276,                0.51638,                0.35391,                0.58655,                0.48565,                0.46266,                0.30452,                0.63597,                 1.2337,                0.43048,                 1.0834,              0.0059608,              0.0059608,              0.0059608
                     54,                0.60546,                 1.0729,                0.38989,                 1.0182,                0.62676,                0.52795,                0.52797,                0.36741,                0.59956,                0.50859,                 0.5033,                0.32238,                0.63127,                 1.2449,                0.43342,                 1.0773,              0.0058816,              0.0058816,              0.0058816
                     55,                0.60889,                 1.0582,                0.38591,                 1.0186,                0.56611,                0.55824,                0.52795,                0.35674,                0.53956,                0.53734,                0.48705,                0.31126,                0.63121,                 1.2172,                0.43008,                 1.0822,              0.0058024,              0.0058024,              0.0058024
                     56,                0.60119,                 1.0507,                0.38143,                 1.0136,                 0.5326,                0.52018,                0.50427,                0.34662,                0.51461,                0.50167,                0.46713,                0.29983,                0.62756,                  1.248,                0.43228,                 1.0817,              0.0057232,              0.0057232,              0.0057232
                     57,                0.59941,                 1.0418,                0.38203,                 1.0085,                0.69275,                0.50726,                0.55156,                 0.3678,                0.53526,                0.55027,                 0.5214,                0.32375,                0.62856,                 1.2365,                0.43172,                 1.0776,               0.005644,               0.005644,               0.005644
                     58,                0.60167,                 1.0458,                0.37983,                 1.0135,                 0.7302,                0.51018,                0.53693,                0.36874,                0.71449,                0.48863,                0.49988,                0.31876,                0.63089,                 1.2293,                0.42698,                 1.0785,              0.0055648,              0.0055648,              0.0055648
                     59,                0.59886,                 1.0369,                0.37941,                 1.0132,                0.67843,                0.51526,                0.51714,                0.35143,                 0.6224,                0.49233,                0.47975,                0.31158,                0.62305,                 1.2353,                0.43162,                  1.071,              0.0054856,              0.0054856,              0.0054856
                     60,                 0.5878,                 1.0173,                0.37253,                  1.006,                0.61714,                0.47481,                0.50473,                0.34662,                0.58156,                0.44171,                 0.4646,                0.29715,                 0.6297,                 1.2535,                0.43513,                 1.0834,              0.0054064,              0.0054064,              0.0054064
                     61,                0.59414,                 1.0293,                0.37251,                 1.0076,                0.61831,                0.52196,                0.51845,                 0.3584,                0.59088,                0.50712,                0.48763,                0.31439,                0.62324,                 1.2456,                0.43238,                 1.0736,              0.0053272,              0.0053272,              0.0053272
                     62,                0.58666,                 1.0121,                0.36559,                0.99883,                 0.6521,                0.52083,                0.52993,                0.36097,                0.56771,                0.49938,                0.47753,                0.31465,                0.62525,                 1.2496,                0.43192,                 1.0713,               0.005248,               0.005248,               0.005248
                     63,                0.58833,                 1.0151,                0.36644,                 1.0019,                0.65377,                0.54488,                0.54317,                0.37758,                 0.6412,                0.51329,                 0.4999,                 0.3211,                0.62391,                 1.2534,                 0.4271,                 1.0789,              0.0051688,              0.0051688,              0.0051688
